,Core,R1,R10,R11,R12,R2,R3,R4,R5,R6,R7,R8,R9,SMILES
0,N#CC(=Cc1cc([*:10])c(OC(c2ccc([*:6])c([*:7])c2[*:8])[*:9])c([*:11])c1[*:12])C(=O)Nc1c([*:1])c([*:2])c([*:3])c([*:4])c1[*:5],[H][*:1],CO[*:10],[H][*:11],Br[*:12],[H][*:2],CO[*:3],[H][*:4],[H][*:5],O=C(O)[*:6],[H][*:7],[H][*:8],[H][*:9],COc1ccc(NC(=O)C(C#N)=Cc2cc(OC)c(OCc3ccc(C(=O)O)cc3)cc2Br)cc1
1,N#CC(=Cc1cc([*:10])c(OC(c2ccc([*:6])c([*:7])c2[*:8])[*:9])c([*:11])c1[*:12])C(=O)Nc1c([*:1])c([*:2])c([*:3])c([*:4])c1[*:5],[H][*:1],CCO[*:10],[H][*:11],[H][*:12],[H][*:2],Cl[*:3],[H][*:4],[H][*:5],O=C(O)[*:6],[H][*:7],[H][*:8],[H][*:9],CCOc1cc(C=C(C#N)C(=O)Nc2ccc(Cl)cc2)ccc1OCc1ccc(C(=O)O)cc1
2,N#CC(=Cc1cc([*:10])c(OC(c2ccc([*:6])c([*:7])c2[*:8])[*:9])c([*:11])c1[*:12])C(=O)Nc1c([*:1])c([*:2])c([*:3])c([*:4])c1[*:5],[H][*:1],CCO[*:10],[H][*:11],[H][*:12],[H][*:2],CO[*:3],[H][*:4],[H][*:5],O=C(O)[*:6],[H][*:7],[H][*:8],[H][*:9],CCOc1cc(C=C(C#N)C(=O)Nc2ccc(OC)cc2)ccc1OCc1ccc(C(=O)O)cc1
3,N#CC(=Cc1cc([*:10])c(OC(c2ccc([*:6])c([*:7])c2[*:8])[*:9])c([*:11])c1[*:12])C(=O)Nc1c([*:1])c([*:2])c([*:3])c([*:4])c1[*:5],[H][*:1],CO[*:10],[H][*:11],[H][*:12],[H][*:2],CO[*:3],[H][*:4],[H][*:5],O=C(O)[*:6],[H][*:7],[H][*:8],[H][*:9],COc1ccc(NC(=O)C(C#N)=Cc2ccc(OCc3ccc(C(=O)O)cc3)c(OC)c2)cc1
4,N#CC(=Cc1cc([*:10])c(OC(c2ccc([*:6])c([*:7])c2[*:8])[*:9])c([*:11])c1[*:12])C(=O)Nc1c([*:1])c([*:2])c([*:3])c([*:4])c1[*:5],[H][*:1],[H][*:10],[H][*:11],[H][*:12],[H][*:2],[H][*:3],[H][*:4],[H][*:5],O=C(O)[*:6],[H][*:7],[H][*:8],[H][*:9],N#CC(=Cc1ccc(OCc2ccc(C(=O)O)cc2)cc1)C(=O)Nc1ccccc1
5,N#CC(=Cc1cc([*:10])c(OC(c2ccc([*:6])c([*:7])c2[*:8])[*:9])c([*:11])c1[*:12])C(=O)Nc1c([*:1])c([*:2])c([*:3])c([*:4])c1[*:5],[H][*:1],CO[*:10],[H][*:11],[H][*:12],[H][*:2],[H][*:3],[H][*:4],[H][*:5],O=C(O)[*:6],[H][*:7],[H][*:8],[H][*:9],COc1cc(C=C(C#N)C(=O)Nc2ccccc2)ccc1OCc1ccc(C(=O)O)cc1
6,N#CC(=Cc1cc([*:10])c(OC(c2ccc([*:6])c([*:7])c2[*:8])[*:9])c([*:11])c1[*:12])C(=O)Nc1c([*:1])c([*:2])c([*:3])c([*:4])c1[*:5],[H][*:1],CO[*:10],[H][*:11],Br[*:12],[H][*:2],Cl[*:3],[H][*:4],[H][*:5],O=C(O)[*:6],[H][*:7],[H][*:8],[H][*:9],COc1cc(C=C(C#N)C(=O)Nc2ccc(Cl)cc2)c(Br)cc1OCc1ccc(C(=O)O)cc1
7,N#CC(=Cc1cc([*:10])c(OC(c2ccc([*:6])c([*:7])c2[*:8])[*:9])c([*:11])c1[*:12])C(=O)Nc1c([*:1])c([*:2])c([*:3])c([*:4])c1[*:5],[H][*:1],CO[*:10],Cl[*:11],[H][*:12],[H][*:2],[H][*:3],[H][*:4],[H][*:5],O=C(O)[*:6],[H][*:7],[H][*:8],[H][*:9],COc1cc(C=C(C#N)C(=O)Nc2ccccc2)cc(Cl)c1OCc1ccc(C(=O)O)cc1
8,N#CC(=Cc1cc([*:10])c(OC(c2ccc([*:6])c([*:7])c2[*:8])[*:9])c([*:11])c1[*:12])C(=O)Nc1c([*:1])c([*:2])c([*:3])c([*:4])c1[*:5],[H][*:1],CO[*:10],[H][*:11],[H][*:12],[H][*:2],[H][*:3],CCO[*:4],[H][*:5],O=C(O)[*:6],[H][*:7],[H][*:8],[H][*:9],CCOc1cccc(NC(=O)C(C#N)=Cc2ccc(OCc3ccc(C(=O)O)cc3)c(OC)c2)c1
9,N#CC(=Cc1cc([*:10])c(OC(c2ccc([*:6])c([*:7])c2[*:8])[*:9])c([*:11])c1[*:12])C(=O)Nc1c([*:1])c([*:2])c([*:3])c([*:4])c1[*:5],[H][*:1],CO[*:10],Cl[*:11],[H][*:12],[H][*:2],CO[*:3],[H][*:4],[H][*:5],O=C(O)[*:6],[H][*:7],[H][*:8],[H][*:9],COc1ccc(NC(=O)C(C#N)=Cc2cc(Cl)c(OCc3ccc(C(=O)O)cc3)c(OC)c2)cc1
10,N#CC(=Cc1cc([*:10])c(OC(c2ccc([*:6])c([*:7])c2[*:8])[*:9])c([*:11])c1[*:12])C(=O)Nc1c([*:1])c([*:2])c([*:3])c([*:4])c1[*:5],[H][*:1],[H][*:10],[H][*:11],[H][*:12],[H][*:2],[H][*:3],CCO[*:4],[H][*:5],O=C(O)[*:6],[H][*:7],[H][*:8],[H][*:9],CCOc1cccc(NC(=O)C(C#N)=Cc2ccc(OCc3ccc(C(=O)O)cc3)cc2)c1
11,N#CC(=Cc1cc([*:10])c(OC(c2ccc([*:6])c([*:7])c2[*:8])[*:9])c([*:11])c1[*:12])C(=O)Nc1c([*:1])c([*:2])c([*:3])c([*:4])c1[*:5],[H][*:1],CO[*:10],[H][*:11],[H][*:12],[H][*:2],C[*:3],C[*:4],[H][*:5],[H][*:6],O=C(O)[*:7],[H][*:8],[H][*:9],COc1cc(C=C(C#N)C(=O)Nc2ccc(C)c(C)c2)ccc1OCc1cccc(C(=O)O)c1
12,N#CC(=Cc1cc([*:10])c(OC(c2ccc([*:6])c([*:7])c2[*:8])[*:9])c([*:11])c1[*:12])C(=O)Nc1c([*:1])c([*:2])c([*:3])c([*:4])c1[*:5],[H][*:1],CO[*:10],[H][*:11],[H][*:12],[H][*:2],Cl[*:3],[H][*:4],[H][*:5],O=C(O)[*:6],[H][*:7],[H][*:8],[H][*:9],COc1cc(C=C(C#N)C(=O)Nc2ccc(Cl)cc2)ccc1OCc1ccc(C(=O)O)cc1
13,N#CC(=Cc1cc([*:10])c(OC(c2ccc([*:6])c([*:7])c2[*:8])[*:9])c([*:11])c1[*:12])C(=O)Nc1c([*:1])c([*:2])c([*:3])c([*:4])c1[*:5],[H][*:1],[H][*:10],[H][*:11],[H][*:12],[H][*:2],CO[*:3],[H][*:4],[H][*:5],O=C(O)[*:6],[H][*:7],[H][*:8],[H][*:9],COc1ccc(NC(=O)C(C#N)=Cc2ccc(OCc3ccc(C(=O)O)cc3)cc2)cc1
14,N#CC(=Cc1cc([*:10])c(OC(c2ccc([*:6])c([*:7])c2[*:8])[*:9])c([*:11])c1[*:12])C(=O)Nc1c([*:1])c([*:2])c([*:3])c([*:4])c1[*:5],[H][*:1],CO[*:10],Cl[*:11],[H][*:12],[H][*:2],[H][*:3],CCO[*:4],[H][*:5],O=C(O)[*:6],[H][*:7],[H][*:8],[H][*:9],CCOc1cccc(NC(=O)C(C#N)=Cc2cc(Cl)c(OCc3ccc(C(=O)O)cc3)c(OC)c2)c1
15,N#CC(=Cc1cc([*:10])c(OC(c2ccc([*:6])c([*:7])c2[*:8])[*:9])c([*:11])c1[*:12])C(=O)Nc1c([*:1])c([*:2])c([*:3])c([*:4])c1[*:5],[H][*:1],CO[*:10],[H][*:11],[H][*:12],[H][*:2],[H][*:3],[H][*:4],F[*:5],C[*:6],[H][*:7],[H][*:8],O=[*:9],COc1cc(C=C(C#N)C(=O)Nc2ccccc2F)ccc1OC(=O)c1ccc(C)cc1
16,N#CC(=Cc1cc([*:10])c(OC(c2ccc([*:6])c([*:7])c2[*:8])[*:9])c([*:11])c1[*:12])C(=O)Nc1c([*:1])c([*:2])c([*:3])c([*:4])c1[*:5],[H][*:1],CO[*:10],[H][*:11],[H][*:12],[H][*:2],[H][*:3],[H][*:4],O=C(O)[*:5],F[*:6],[H][*:7],[H][*:8],[H][*:9],COc1cc(C=C(C#N)C(=O)Nc2ccccc2C(=O)O)ccc1OCc1ccc(F)cc1
17,N#CC(=Cc1cc([*:10])c(OC(c2ccc([*:6])c([*:7])c2[*:8])[*:9])c([*:11])c1[*:12])C(=O)Nc1c([*:1])c([*:2])c([*:3])c([*:4])c1[*:5],[H][*:1],[H][*:10],[H][*:11],[H][*:12],[H][*:2],[H][*:3],C[*:4],[H][*:5],O=C(O)[*:6],[H][*:7],[H][*:8],[H][*:9],Cc1cccc(NC(=O)C(C#N)=Cc2ccc(OCc3ccc(C(=O)O)cc3)cc2)c1
18,N#CC(=Cc1cc([*:10])c(OC(c2ccc([*:6])c([*:7])c2[*:8])[*:9])c([*:11])c1[*:12])C(=O)Nc1c([*:1])c([*:2])c([*:3])c([*:4])c1[*:5],[H][*:1],CCO[*:10],[H][*:11],[H][*:12],[H][*:2],CCOC(=O)[*:3],[H][*:4],[H][*:5],F[*:6],[H][*:7],[H][*:8],[H][*:9],CCOC(=O)c1ccc(NC(=O)C(C#N)=Cc2ccc(OCc3ccc(F)cc3)c(OCC)c2)cc1
19,N#CC(=Cc1cc([*:10])c(OC(c2ccc([*:6])c([*:7])c2[*:8])[*:9])c([*:11])c1[*:12])C(=O)Nc1c([*:1])c([*:2])c([*:3])c([*:4])c1[*:5],[H][*:1],CCO[*:10],[H][*:11],[H][*:12],[H][*:2],[H][*:3],O=C(O)[*:4],[H][*:5],[H][*:6],[H][*:7],Cl[*:8],[H][*:9],CCOc1cc(C=C(C#N)C(=O)Nc2cccc(C(=O)O)c2)ccc1OCc1ccccc1Cl
20,N#CC(=Cc1cc([*:10])c(OC(c2ccc([*:6])c([*:7])c2[*:8])[*:9])c([*:11])c1[*:12])C(=O)Nc1c([*:1])c([*:2])c([*:3])c([*:4])c1[*:5],[H][*:1],CCO[*:10],[H][*:11],[H][*:12],[H][*:2],[H][*:3],C[*:4],[H][*:5],O=C(O)[*:6],[H][*:7],[H][*:8],[H][*:9],CCOc1cc(C=C(C#N)C(=O)Nc2cccc(C)c2)ccc1OCc1ccc(C(=O)O)cc1
21,N#CC(=Cc1cc([*:10])c(OC(c2ccc([*:6])c([*:7])c2[*:8])[*:9])c([*:11])c1[*:12])C(=O)Nc1c([*:1])c([*:2])c([*:3])c([*:4])c1[*:5],[H][*:1],CO[*:10],[H][*:11],[H][*:12],[H][*:2],CO[*:3],[H][*:4],[H][*:5],F[*:6],[H][*:7],[H][*:8],[H][*:9],COc1ccc(NC(=O)C(C#N)=Cc2ccc(OCc3ccc(F)cc3)c(OC)c2)cc1
22,N#CC(=Cc1cc([*:10])c(OC(c2ccc([*:6])c([*:7])c2[*:8])[*:9])c([*:11])c1[*:12])C(=O)Nc1c([*:1])c([*:2])c([*:3])c([*:4])c1[*:5],[H][*:1],CO[*:10],Cl[*:11],[H][*:12],[H][*:2],Cl[*:3],[H][*:4],[H][*:5],O=C(O)[*:6],[H][*:7],[H][*:8],[H][*:9],COc1cc(C=C(C#N)C(=O)Nc2ccc(Cl)cc2)cc(Cl)c1OCc1ccc(C(=O)O)cc1
23,N#CC(=Cc1cc([*:10])c(OC(c2ccc([*:6])c([*:7])c2[*:8])[*:9])c([*:11])c1[*:12])C(=O)Nc1c([*:1])c([*:2])c([*:3])c([*:4])c1[*:5],[H][*:1],CO[*:10],[H][*:11],[H][*:12],[H][*:2],CO[*:3],[H][*:4],[H][*:5],[H][*:6],C[*:7],[H][*:8],[H][*:9],COc1ccc(NC(=O)C(C#N)=Cc2ccc(OCc3cccc(C)c3)c(OC)c2)cc1
24,N#CC(=Cc1cc([*:10])c(OC(c2ccc([*:6])c([*:7])c2[*:8])[*:9])c([*:11])c1[*:12])C(=O)Nc1c([*:1])c([*:2])c([*:3])c([*:4])c1[*:5],[H][*:1],CO[*:10],[H][*:11],[H][*:12],C[*:2],[H][*:3],C[*:4],[H][*:5],O=C(O)[*:6],[H][*:7],[H][*:8],[H][*:9],COc1cc(C=C(C#N)C(=O)Nc2cc(C)cc(C)c2)ccc1OCc1ccc(C(=O)O)cc1
25,N#CC(=Cc1cc([*:10])c(OC(c2ccc([*:6])c([*:7])c2[*:8])[*:9])c([*:11])c1[*:12])C(=O)Nc1c([*:1])c([*:2])c([*:3])c([*:4])c1[*:5],[H][*:1],[H][*:10],[H][*:11],[H][*:12],[H][*:2],CO[*:3],[H][*:4],[H][*:5],C[*:6],[H][*:7],[H][*:8],O=[*:9],COc1ccc(NC(=O)C(C#N)=Cc2ccc(OC(=O)c3ccc(C)cc3)cc2)cc1
26,N#CC(=Cc1cc([*:10])c(OC(c2ccc([*:6])c([*:7])c2[*:8])[*:9])c([*:11])c1[*:12])C(=O)Nc1c([*:1])c([*:2])c([*:3])c([*:4])c1[*:5],[H][*:1],CO[*:10],[H][*:11],[H][*:12],[H][*:2],[H][*:3],FC(F)(F)[*:4],[H][*:5],O=C(O)[*:6],[H][*:7],[H][*:8],[H][*:9],COc1cc(C=C(C#N)C(=O)Nc2cccc(C(F)(F)F)c2)ccc1OCc1ccc(C(=O)O)cc1
27,N#CC(=Cc1cc([*:10])c(OC(c2ccc([*:6])c([*:7])c2[*:8])[*:9])c([*:11])c1[*:12])C(=O)Nc1c([*:1])c([*:2])c([*:3])c([*:4])c1[*:5],[H][*:1],CCO[*:10],[H][*:11],[H][*:12],[H][*:2],[H][*:3],O=C(O)[*:4],[H][*:5],Br[*:6],[H][*:7],[H][*:8],[H][*:9],CCOc1cc(C=C(C#N)C(=O)Nc2cccc(C(=O)O)c2)ccc1OCc1ccc(Br)cc1
28,N#CC(=Cc1cc([*:10])c(OC(c2ccc([*:6])c([*:7])c2[*:8])[*:9])c([*:11])c1[*:12])C(=O)Nc1c([*:1])c([*:2])c([*:3])c([*:4])c1[*:5],[H][*:1],CCO[*:10],[H][*:11],[H][*:12],[H][*:2],[H][*:3],O=C(O)[*:4],[H][*:5],[H][*:6],[H][*:7],[H][*:8],O=[*:9],CCOc1cc(C=C(C#N)C(=O)Nc2cccc(C(=O)O)c2)ccc1OC(=O)c1ccccc1
